pr_number,category,confidence,path_guess,label_guess,title,author,branch,merge_sha,merged_at,labels,num_files_changed,html_url
2014,cicd,agree,cicd,cicd,Antalya 26.6 - Try smaller runners for builds [CI Cost Reduction],strtgbb,smaller-builds,6dafd41daa5aa28988f5d1d3f155e42a20c5e7af,2026-07-07T14:56:38Z,antalya;cicd;verified;port-everywhere;backport-ci;antalya-26.6,4,https://github.com/Altinity/ClickHouse/pull/2014
2013,cicd,agree,cicd,cicd,Antalya 26.6 - CI Fixes,strtgbb,rebase-cicd-v26.6.1.1193-stable,9ddb8373074468f3517ad004ee45e8e9135a7911,2026-07-08T01:37:58Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,31,https://github.com/Altinity/ClickHouse/pull/2013
2022,cicd,agree,cicd,cicd,Antalya 26.6 - CI ports and fixes,MyroTk,26.6/antalya/ci-fixes,d47a563322781676bca7a533a9bd99680238dd13,2026-07-12T14:13:58Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,24,https://github.com/Altinity/ClickHouse/pull/2022
2056,cicd,agree,cicd,cicd, Antalya 26.6 - Update runner labels for better mixed fleet support,strtgbb,update-runner-labels-26.6,c09f5f1935589ff33e57fdaf4260557063451d23,2026-07-16T17:42:42Z,antalya;cicd;verified;port-everywhere;backport-ci;antalya-26.6;antalya-26.6.2.20001,6,https://github.com/Altinity/ClickHouse/pull/2056
2038,dev,path-only,dev,,[Before forward-ports] Antalya 26.6: patch for SettingsChangesHistory,zvonand,fix/antalya-26.6/fix-settingschangeshistory,095f1c572b83d2c9dab4c26847eb11114a5bc27c,2026-07-16T19:47:20Z,antalya;verified;port-antalya;antalya-26.6;antalya-26.6.2.20001,10,https://github.com/Altinity/ClickHouse/pull/2038
2061,uncertain,"conflict(path=uncertain,label=cicd)",uncertain,cicd,Altinity 26.6 - patch unit tests,strtgbb,patch-unit-tests,2ed6626a25ed0ecabff40adda18d4c2b48539ef5,2026-07-16T20:27:28Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,3,https://github.com/Altinity/ClickHouse/pull/2061
2098,uncertain,"conflict(path=qa,label=cicd)",qa,cicd,Antalya 26.6 - Backport flaky-fix commits from upstream (2026-07-21),strtgbb,flaky-fix-backport/antalya-26.6/2026-07-21,105529242a85fba3962eae4e6d2f408315aae7b8,2026-07-22T01:37:43Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,45,https://github.com/Altinity/ClickHouse/pull/2098
2071,cicd,agree,cicd,cicd,Antalya 26.6 - CI fixes continued,strtgbb,ci-fixes-26.6,4359a07f08852300e8f2520dabd1892f5467a261,2026-07-22T01:38:11Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,20,https://github.com/Altinity/ClickHouse/pull/2071
2107,uncertain,path-only,uncertain,,Antalya 26.6 - Bump to 26.6.2,strtgbb,bump/antalya-26.6/26.6.2.81,154ae2472c778d2997d5f86c0b2ca6eeb1372917,2026-07-31T23:59:13Z,antalya;verified;antalya-26.6;antalya-26.6.2.20001,506,https://github.com/Altinity/ClickHouse/pull/2107
2142,cicd,agree,cicd,cicd,Antalya-26.6 - fix integration test fails being hidden in report,strtgbb,fix-hidden-integration-fails,74d556560fef9ae06fd00cac2a1a194799cdcbf0,2026-07-31T23:59:45Z,antalya;cicd;verified;port-everywhere;backport-ci;antalya-26.6;antalya-26.6.2.20001,2,https://github.com/Altinity/ClickHouse/pull/2142
2124,dev,path-only,dev,,Antalya 26.6: Do not read empty namespaces from catalog,zvonand,feature/antalya-26.6/pr-1762,3e08f314627416ab640e5e29a2dfe395bba49ddd,2026-08-04T09:43:50Z,antalya;verified;port-antalya;releasy;antalya-26.6;antalya-26.6.2.20001,1,https://github.com/Altinity/ClickHouse/pull/2124
2129,dev,path-only,dev,,Antalya 26.6: Support for 'time' type in Iceberg,zvonand,feature/antalya-26.6/pr-1761,ce7967042ba4df456339470c4acb08f30efd3048,2026-08-04T12:19:39Z,antalya;verified;port-antalya;releasy;ai-resolved;antalya-26.6;antalya-26.6.2.20001,10,https://github.com/Altinity/ClickHouse/pull/2129
2135,cicd,agree,cicd,cicd,Antalya 26.6 - Run master ci on tag push,MyroTk,add-master-tag-trigger,5e8eaeb4d7dd2484bd6dafc16f5d2f51b5e099da,2026-08-04T17:52:29Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,5,https://github.com/Altinity/ClickHouse/pull/2135
2155,uncertain,"conflict(path=uncertain,label=cicd)",uncertain,cicd,Antalya 26.6 - Missing CICD ports,strtgbb,port/antalya-26.6/broken-tests-ci-verify,eac944cd0be6ff1df707e91d59be2592d127016e,2026-08-05T16:44:38Z,antalya;cicd;verified;antalya-26.6;antalya-26.6.2.20001,6,https://github.com/Altinity/ClickHouse/pull/2155
2141,dev,path-only,dev,,Antalya 26.6: Expose IcebergS3 partition_key / sorting_key in system.tables,zvonand,feature/antalya-26.6/auto-grp-pr-1662,31cd3f9714eabec5a8d0bb97a0230f5f6a5cbc0a,2026-08-06T08:53:02Z,antalya;verified;port-antalya;releasy;ai-resolved;forwardport;antalya-26.6;antalya-26.6.2.20001,8,https://github.com/Altinity/ClickHouse/pull/2141
