B025-008	architecture/manifests-and-refs	`commitRefChunk` builds and applies a COW candidate before the ref-log PUT, so allocation failures occur before durability; the candidate is not materialized before the PUT because its shared COW base would force an O(n) rebuild per chunk.
B025-011	architecture/manifests-and-refs	The unresolved ref-log wedge is preconstructed before the PUT so its exact `{id, key, bytes}` can be moved into runtime state without allocation after an ambiguous outcome.
B027-015	architecture/manifests-and-refs	A complete catalog GET is treated as an atomic object-version cut, whereas a paginated LIST stitches separately fetched pages and is not an atomic universe observation; downstream protocol can close staleness after a cut, but cannot recover a namespace omitted from the universe listing.
B027-027	architecture/manifests-and-refs	The ref fold has one pure `buildRefWalkPlan(catalog_cut, inputs)` producer; it creates rows only for catalog `Live` or `Removing` entries, freezes the admitted key set and evidence, and supplies the same plan to DEFER, frontier, fold, and successor publication.
B030-036	architecture/manifests-and-refs	`prepareRefChunk(state, id, chain_link, ops, admitted_generation)` is a backend-free pure preparation function that produces the candidate `RefTableState`, candidate base id, `RefLogTxn`, canonical key, sealed bytes, complete wedge, and optional birth `_ckpt` contribution before the first durable effect.
B031-020	architecture/manifests-and-refs	The mandatory catalog design treats an absent or undecodable `cas/ref_catalog` after pool initialization as `CORRUPTED_DATA` and stops creation, removal, and GC instead of interpreting it as a virgin empty catalog.
B031-027	architecture/manifests-and-refs	The catalog remains the authoritative namespace universe because a single token-CAS `GET` supplies one complete object-version cut, whereas stitched paginated `LIST` results need not represent any namespace set at one instant.
B031-030	architecture/manifests-and-refs	`CasRefCatalog` should own namespace lifecycle decisions through typed operations such as `lookup`, `liveAndRemoving`, `ensureLive`, and `beginRemoval`, rather than exposing raw catalog rows to callers.
B034-068	architecture/manifests-and-refs	The per-namespace `RootShardManifest` model and `Store::shardOf` were replaced by per-table snapshot-plus-log state; root-shard-axis backlog items are obsolete.
B034-112	architecture/manifests-and-refs	`CasRefCatalog::resolveLifeOrSentinel` should return `std::optional<NamespaceLifeId>` rather than a plausible sentinel fallback so every caller must explicitly handle an unknown catalog life.
B034-113	architecture/manifests-and-refs	GC, fsck, decommission, probe, and rebuild paths must resolve namespace life once per run and thread that result instead of repeatedly re-deriving it from independent mechanisms.
B035-034	architecture/manifests-and-refs	The promote-over-committed fix fails closed with `ABORTED` when `refs[final_ref_name]` names a different committed manifest, while `ContentAddressedTransaction::republishRef` is idempotent for a destination with the same path-sorted entries and throws `ABORTED` for different content.
B035-047	architecture/manifests-and-refs	The incremental `admits()` fix maintains byte-exact body-size counters in `RefTableState` through `applyOpInPlace`, making a K-operation flush O(K) instead of O(K×N); measurements became approximately 1.8–1.9 microseconds across N=100 through N=100,000.
B037-036	architecture/manifests-and-refs	The pre-fold plan carries opaque life ids separately from catalog lifecycle states and carries the fresh cut's complete catalog token/value into ref-plan intake without importing fold lifecycle from `CaRefDeltaIntakeCore`.
B039-045	architecture/manifests-and-refs	V1 models a committed folder identity as `PartRefKey` equal to `RootNamespace` plus `ref_name`.
B039-054	architecture/manifests-and-refs	The final committed owner mutation may use `Cas::Build` for staging, blob upload, evidence adoption, and precommit, but the mutation itself must go through the facade.
B039-125	architecture/manifests-and-refs	The most pervasive repeated identity bundle is `(Cas::RootNamespace ns, std::string ref)`, which is a candidate for a `RefId` value object.
B040-019	architecture/manifests-and-refs	Recovery must install the exact last-seal identifier into the writer runtime, and commitRefChunk must copy it into every ordinary non-genesis sequence-1 transaction
B040-023	architecture/manifests-and-refs	CasRefLedger::trySnapshotPublishOnce must invoke the shared publishCkpt helper after the snapshot body is durable and before treating the snapshot as cleanup-authoritative
B040-048	architecture/manifests-and-refs	A brand-new namespace first born at global writer epoch E > 1 must start recovery at its life_epoch and be tested through its first transition
B041-009	architecture/manifests-and-refs	A dedicated slot-occupy primitive should return Created, Occupied(GetResult), or Unresolved, preserve occupant bytes and token, decode an occupied RefLogTxn or EpochSeal, and terminate immediately when it adopts a seal.
B041-017	architecture/manifests-and-refs	Concurrent _ckpt publishers must use a read/decode/merge/CAS loop that takes the semantic maximum of pointer fields and preserves unrelated fields.
B041-031	architecture/manifests-and-refs	The _cleanup removal order must be changed only after incarnation-qualified catalog/key APIs and the PartWriteTxn rebirth gate are landed, and _ckpt must receive a singleton strict-key classification or a separately excluded prefix.
B041-070	architecture/manifests-and-refs	The selected CAS ref design uses one exact-readable pool catalog, one fixed mutable head per namespace, immutable predecessor-linked transaction nodes, and a head CAS as the transaction commit point; LIST discovers garbage candidates only.
B042-042	architecture/manifests-and-refs	The proposed LIST-completeness direction is an authoritative per-namespace CHAIN plus a complete-cut gate: a record whose predecessor link is unaccounted for cannot be passed by a round's seal.
B043-014	architecture/manifests-and-refs	Namespace discovery does not use a persistent `gc/registry`; each namespace has a durable monotone never-reused `incarnation`, and the pool has a global GC `round`, because both coordinates are required to prevent newborn and ABA errors.
