B048-021	One `GcRoundWorkBudget` is constructed per round in `Gc::runRegularRound` and shared by sequential shard folds; it is passed to all production `foldDeltasIntoGeneration` calls, while the rebuild path remains unbudgeted because it has no graduation or `delete_pending` inputs.
B048-028	`deletePrefixWholesale` reports `out_fully_drained = true` only when the LIST reaches its natural end; budget exhaustion reports false, and `pruneSupersededGenerations` advances `snap_pruned_through` only past fully drained prefixes.
B048-030	The post-CAS generation-prefix hand-off uses a separate budget from ordinary prune work because it is a one-shot event whose only existing backstop after a partial reclaim is `fsck`.
B048-032	The outcome-entry cap limits only the `GcOutcomes` audit-log PUT: `settleEntry` still removes spared entries from `still_retired`, and `CasGcRetiredSpared`, `GcRecheckVerdict`, and `forgetCondemnMarker` run even when the `OutcomeEntry` push is skipped.
B048-036	The round-budget implementation introduces no persisted object kinds and no protocol-step changes; the budget is stack-local, and the one-pass round still commits `gc/state` exactly once.
B048-044	`RefPlan::changedRows` and `shouldDeferRound` can defer an entire fold round based on a listed tail observation, but the defer path performs no destructive work, advances no coverage cursor, and is bounded by `gc_fold_max_defer_rounds`.
B048-050	The `CaGcDestructiveGateCore` model pins `UniverseAuthoritative == TRUE` because it models the post-flip posture; production's not-yet-knowable-universe posture suppresses destructive work and is covered by `CasGcFrontierGate.HiddenPlusOneInAnUnknownNamespaceIsRefusedByTheProductionDefault`.
B049-004	Normal rounds and healthy `REBUILD` apply every returned runtime retirement before downstream work and proceed only for `{Authoritative, DrainComplete}`; damaged-state `REBUILD` uses a no-parent, zero-catalog-mutation path.
B049-014	The raw `cas_gc_maintenance_state` object at `gc/maintenance_state` stores only a bounded opaque janitor cursor and uses one materialized read followed by one expected-token or expected-absence CAS.
B049-016	The maintenance-state codec requires `cur`, limits decoded cursors to 64 KiB, uses `FormatId::GcMaintenanceState = 25` with `{7, 7}` change points, and caps raw control objects at 512 KiB.
B049-017	Maintenance-state `CORRUPTED_DATA` is classified as corrupt with its exact token, while future-version and backend failures propagate; CAS conflicts do not retry, reread, or adopt a winner.
B049-043	The catalog-only pre-fold drain runs after lease acquisition against the authoritative adopted parent and before `DEFER`, the hot stream LIST, the successor catalog cut, fold, `REBUILD` adoption, or successor seal adoption.
B049-044	A pre-fold deletion requires the complete exact `Removing` row, matching parent cleanup evidence, and no durable hold.
B049-046	Full-catalog tokens require a serial rescan after every CAS outcome; for `N` eligible rows the drain costs one adopted-seal GET, at least `N+1` complete catalog GETs, and `N` exact catalog CASes, plus retries for conflict or ambiguity.
B049-048	Healthy `REBUILD` drains before taking its fresh cut, while missing or undecodable `gc/state` adopts reconstructed authority only, performs zero catalog deletion, and leaves drain work to the next invocation.
B049-051	`CaRefPreFoldDrainCore` is the sole owner of adopted-parent validation, catalog drain, conclusive CAS resolution, and fresh-cut ordering, and exports an immutable full-catalog token/value pair to the ref-plan consumer boundary.
B049-056	The pre-fold witness requires an actual token-advancing exact `Removing` deletion and verifies the drained row is absent from both the consumed cut and the plan.
B049-066	On a sibling upload failure, successful sibling bodies remain ordinary GC-reclaimable debris while the poisoned sibling is never uploaded; result merging does not occur after failure.
B049-071	An unmatched adopted-parent opaque life remains observable but is excluded from the successor seal and does not suppress pool-wide destructive cleanup; a valid manifest candidate can be physically deleted in the same round.
B049-073	Every acquired ordinary GC invocation, including `DEFER`, runs exactly one independently paced `cas/ns/` janitor page and one later catalog cut while the hot immutable `RefPlan` still uses exactly one `cas/ns/stream/` LIST plus one later catalog cut.
B049-074	`Gc::runNamespaceJanitorPage` owns the bounded page, post-page catalog cut, exact GC-fence check, warnings, and `namespace_cleanup` metrics, and never performs a catalog lifecycle transition or contributes to the hot walk plan.
B049-075	The folding path passes its `FoldResult::suppress_destructive` verdict to the janitor helper, while `DEFER` calls the same helper with deletion suppressed because it has no complete fold verdict.
B049-076	A janitor page advances its cursor only when its catalog cut is unambiguous, deletion is globally admitted, and no candidate observes fence loss; suppressed, ambiguous, or fence-lost pages retain the old cursor for authoritative retry.
B049-077	Malformed keys, `NotFound`, and exact-token mismatch are decided per key and may advance the janitor page, while corrupt or backend-rejected cursor reset behavior remains exact-token based.
