event_time	level	message
2026-08-04 11:28:49	Information	CAS gc orphan sweep: retained 0 manifest body(ies) this pass, most of them (1 of 0) for \'work_budget_exhausted\' -- see the fold seal\'s coverage for that namespace; deleted 0, listed 1000, skipped 1000
2026-08-04 11:31:16	Debug	(from 127.0.0.1:55372) (query 1, line 2) SELECT event_time, level, message FROM system.text_log WHERE message ILIKE \'%CAS GC%\' OR message ILIKE \'%held namespace%\' OR message ILIKE \'%witness%\' ORDER BY event_time DESC LIMIT 20 FORMAT TSVRaw (stage: Complete)
2026-08-04 11:31:16	Debug	Query condition cache has dropped 0/4982 granules for WHERE condition and(__topKFilter(event_time), or(ilike(message, \'%CAS GC%\'_String), ilike(message, \'%held namespace%\'_String), ilike(message, \'%witness%\'_String))).
2026-08-04 11:31:43	Error	CAS GC ref intake: namespace ca_soak_ch1/store/309/3099fa90-3dd8-4740-a2ba-7dcc357c82cb@cas@ HELD at 0000000000000001-000000000000656a -- ref intake: expected next id absent below a same-epoch witness -- contiguity says this cannot happen, so a durable record is missing. The cursor stays at 0000000000000001-0000000000006569 and this namespace folds nothing further this round.
2026-08-04 11:33:01	Warning	CAS GC fold: destructive work SUPPRESSED this pass — 1 anomaly(ies), 1 held namespace(s), frontier INCOMPLETE (1 of 2 namespace(s) proven; unproven: held=1). Graduations and pending deletes are carried; nothing irreversible runs until a pass that clears all three.
2026-08-04 11:33:28	Debug	(from 127.0.0.1:45746) (query 1, line 2) SELECT event_time, level, message FROM system.text_log WHERE event_time >= \'2026-08-04 11:29:00\' AND message ILIKE \'%CAS GC%\' AND (message ILIKE \'%hold%\' OR message ILIKE \'%witness%\' OR message ILIKE \'%suppress%\') ORDER BY event_time FORMAT TSVRaw (stage: Complete)
2026-08-04 11:33:28	Debug	Query condition cache has dropped 0/4987 granules for PREWHERE condition and(greaterOrEquals(__table1.event_time, \'2026-08-04 11:29:00\'_String), ilike(__table1.message, \'%CAS GC%\'_String), or(ilike(__table1.message, \'%hold%\'_String), ilike(__table1.message, \'%witness%\'_String), ilike(__table1.message, \'%suppress%\'_String))).
2026-08-04 11:33:28	Debug	Query condition cache has dropped 0/4987 granules for WHERE condition and(greaterOrEquals(event_time, \'2026-08-04 11:29:00\'_String), ilike(message, \'%CAS GC%\'_String), or(ilike(message, \'%hold%\'_String), ilike(message, \'%witness%\'_String), ilike(message, \'%suppress%\'_String))).
2026-08-04 11:33:29	Error	CAS GC ref intake: namespace ca_soak_ch1/store/309/3099fa90-3dd8-4740-a2ba-7dcc357c82cb@cas@ HELD at 0000000000000001-000000000000656a -- ref intake: expected next id absent below a same-epoch witness -- contiguity says this cannot happen, so a durable record is missing. The cursor stays at 0000000000000001-0000000000006569 and this namespace folds nothing further this round.
2026-08-04 11:33:48	Warning	CAS GC fold: destructive work SUPPRESSED this pass — 1 anomaly(ies), 1 held namespace(s), frontier INCOMPLETE (1 of 2 namespace(s) proven; unproven: held=1). Graduations and pending deletes are carried; nothing irreversible runs until a pass that clears all three.
2026-08-04 11:34:20	Error	CAS GC ref intake: namespace ca_soak_ch1/store/309/3099fa90-3dd8-4740-a2ba-7dcc357c82cb@cas@ HELD at 0000000000000001-000000000000656a -- ref intake: expected next id absent below a same-epoch witness -- contiguity says this cannot happen, so a durable record is missing. The cursor stays at 0000000000000001-0000000000006569 and this namespace folds nothing further this round.
2026-08-04 11:34:26	Warning	CAS GC fold: destructive work SUPPRESSED this pass — 1 anomaly(ies), 1 held namespace(s), frontier INCOMPLETE (1 of 2 namespace(s) proven; unproven: held=1). Graduations and pending deletes are carried; nothing irreversible runs until a pass that clears all three.
2026-08-04 11:35:53	Debug	(from 127.0.0.1:37900) (query 1, line 2) SELECT event_time, level, message FROM system.text_log WHERE event_time >= \'2026-08-04 11:34:58\' AND message ILIKE \'%CAS GC%\' AND (message ILIKE \'%656a%\' OR message ILIKE \'%HELD%\' OR message ILIKE \'%clear%\' OR message ILIKE \'%resum%\' OR message ILIKE \'%namespace%\') ORDER BY event_time FORMAT TSVRaw (stage: Complete)
2026-08-04 11:35:53	Debug	Query condition cache has dropped 0/4990 granules for PREWHERE condition and(greaterOrEquals(__table1.event_time, \'2026-08-04 11:34:58\'_String), ilike(__table1.message, \'%CAS GC%\'_String), or(ilike(__table1.message, \'%656a%\'_String), ilike(__table1.message, \'%HELD%\'_String), ilike(__table1.message, \'%clear%\'_String), ilike(__table1.message, \'%resum%\'_String), ilike(__table1.message, \'%namespace%\'_String))).
2026-08-04 11:35:53	Debug	Query condition cache has dropped 0/4990 granules for WHERE condition and(greaterOrEquals(event_time, \'2026-08-04 11:34:58\'_String), ilike(message, \'%CAS GC%\'_String), or(ilike(message, \'%656a%\'_String), ilike(message, \'%HELD%\'_String), ilike(message, \'%clear%\'_String), ilike(message, \'%resum%\'_String), ilike(message, \'%namespace%\'_String))).
2026-08-04 11:35:57	Debug	(from 127.0.0.1:55632) (query 1, line 2) SELECT event_time, level, message FROM system.text_log WHERE event_time >= \'2026-08-04 11:34:55\' AND event_time <= \'2026-08-04 11:35:50\' AND message ILIKE \'%CAS GC%\' ORDER BY event_time FORMAT TSVRaw (stage: Complete)
2026-08-04 11:35:57	Debug	Query condition cache has dropped 0/4990 granules for PREWHERE condition and(greaterOrEquals(__table1.event_time, \'2026-08-04 11:34:55\'_String), lessOrEquals(__table1.event_time, \'2026-08-04 11:35:50\'_String), ilike(__table1.message, \'%CAS GC%\'_String)).
